南门外 朱雀路 省建行朱雀路家属院 南向两居 新房装修|160|121|省建行朱雀路家属院|2室2厅
粉巷一号 1室0厅 80万|80|48|粉巷一号|1室0厅
通化门地铁口 东窑坊 满五满二 环境好 业主诚心出售|131|94|东窑坊|2室2厅
旁边就是西工大，满三满二，装修好。|380|162|千業華園|3室2厅
满五不满二  91平两居 150万|150|91|兰蒂斯城2期|2室2厅
南稍门  福隆居三居  靠谱出售|170|120|福隆居|3室2厅
长安壹栋 1室1厅 95万|95|54|长安壹栋|1室1厅
海星未来城 精装开间 西南朝向 交通便利 配套齐全|75|42|海星未来城|1室0厅
白金广场小区 2室2厅 150万|150|112|白金广场小区|2室2厅
交大 兰蒂斯城2期 陪读房  经典一室|93|53|兰蒂斯城2期|1室1厅
太白立交 西工大旁 瑞鑫摩天城 一室开间出售|65|39|瑞鑫摩天城|1室0厅
